id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
883;2025-05-22 00.05.34;25,4;90,7;4,1;470,0;58,0;44,0;57,0;1;31,0;23,5;30,4;3,8;2,4;0,7;84,9;7,0;149,1;148,0;1;1
884;2025-05-22 00.05.41;25,4;91,0;4,0;470,0;55,0;45,0;49,0;1;29,4;24,0;26,2;3,9;2,4;0,7;79,6;7,0;154,4;148,0;1;1
889;2025-05-22 00.06.18;25,4;90,6;4,0;470,0;38,0;20,0;26,0;1;20,3;10,7;13,9;3,9;2,4;0,7;44,9;7,0;189,1;148,0;1;1
890;2025-05-22 00.06.25;25,4;91,0;4,0;470,0;39,0;19,0;28,0;1;20,8;10,1;15,0;3,9;2,4;0,7;45,9;7,0;188,1;148,0;1;1
893;2025-05-22 00.06.48;25,5;91,0;4,0;470,0;32,0;25,0;24,0;1;17,1;13,4;12,8;3,9;2,4;0,7;43,3;7,0;190,7;148,0;1;1
899;2025-05-22 00.07.33;25,5;90,9;4,0;470,0;24,0;14,0;22,0;1;12,8;7,5;11,8;3,9;2,4;0,7;32,1;7,0;201,9;148,0;1;1
900;2025-05-22 00.07.41;25,5;91,3;4,0;470,0;36,0;29,0;32,0;1;19,2;15,5;17,1;3,9;2,4;0,7;51,8;7,1;182,2;147,9;1;1
901;2025-05-22 00.07.48;25,4;91,0;4,0;470,0;35,0;17,0;30,0;1;18,7;9,1;16,0;3,9;2,4;0,7;43,8;7,0;190,2;148,0;1;1
907;2025-05-22 00.08.33;25,5;91,3;4,0;470,0;28,0;14,0;25,0;1;15,0;7,5;13,4;3,9;2,4;0,7;35,8;7,1;198,2;147,9;1;1
913;2025-05-22 00.09.18;25,5;90,7;4,0;470,0;39,0;26,0;38,0;1;20,8;13,9;20,3;3,9;2,4;0,7;55,0;7,0;179,0;148,0;1;1
915;2025-05-22 00.09.33;25,5;90,6;4,1;470,0;39,0;24,0;22,0;1;20,8;12,8;11,8;3,8;2,4;0,7;45,4;6,9;188,6;148,1;1;1
